Datetime,PJME_MW,total_kw,base_kw,hvac_kw,comp_kw,is_spike_event,temp_celsius,humidity_pct,solar_ghi,tod_rate_inr,is_peak_hour_flag,demand_charge_rate_inr
2017-01-01 00:00:00,28171.0,523.34,104.67,235.5,183.17,0,5.2,46.0,0.0,6.5,0,500.0
2017-01-01 00:15:00,27817.294192636655,510.56,102.11,229.75,178.7,0,5.2,47.0,0.0,6.5,0,500.0
2017-01-01 00:30:00,27485.24693444189,498.57,99.71,224.36,174.5,0,5.2,48.0,0.0,6.5,0,500.0
2017-01-01 00:45:00,27173.07620902618,487.29,97.46,219.28,170.55,0,5.1,49.0,0.0,6.5,0,500.0
2017-01-01 01:00:00,26879.0,476.69,95.34,214.51,166.84,0,5.1,50.0,0.0,6.5,0,500.0
2017-01-01 01:15:00,26601.236290973822,466.65,93.33,209.99,163.33,0,5.2,49.0,0.0,6.5,0,500.0
2017-01-01 01:30:00,26338.003065558114,457.14,91.43,205.71,160.0,0,5.4,48.0,0.0,6.5,0,500.0
2017-01-01 01:45:00,26087.518307363356,448.09,89.62,201.64,156.83,0,5.5,47.0,0.0,6.5,0,500.0
2017-01-01 02:00:00,25848.0,439.45,87.89,197.75,153.81,0,5.6,46.0,0.0,6.5,0,500.0
2017-01-01 02:15:00,25618.838768468064,431.17,86.23,194.03,150.91,0,5.6,46.2,0.0,6.5,0,500.0
2017-01-01 02:30:00,25404.115803325658,423.42,84.68,190.54,148.2,0,5.7,46.5,0.0,6.5,0,500.0
2017-01-01 02:45:00,25209.084936520423,416.37,83.27,187.37,145.73,0,5.8,46.8,0.0,6.5,0,500.0
2017-01-01 03:00:00,25039.0,410.23,82.05,184.6,143.58,0,5.8,47.0,0.0,6.5,0,500.0
2017-01-01 03:15:00,24897.924260153923,405.14,81.03,182.31,141.8,0,5.8,47.2,0.0,6.5,0,500.0
2017-01-01 03:30:00,24785.158721139254,401.06,80.21,180.48,140.37,0,5.8,47.5,0.0,6.5,0,500.0
2017-01-01 03:45:00,24698.813821554962,397.95,79.59,179.08,139.28,0,5.7,47.8,0.0,6.5,0,500.0
2017-01-01 04:00:00,24637.0,395.71,79.14,178.07,138.5,0,5.7,48.0,0.0,6.5,0,500.0
2017-01-01 04:15:00,24598.10481591626,394.31,78.86,177.44,138.01,0,5.7,48.0,0.0,6.5,0,500.0
2017-01-01 04:30:00,24581.624312117336,393.71,78.74,177.17,137.8,0,5.6,48.0,0.0,6.5,0,500.0
2017-01-01 04:45:00,24587.331652259738,393.91,78.78,177.26,137.87,0,5.6,48.0,0.0,6.5,0,500.0
2017-01-01 05:00:00,24615.0,394.91,78.98,177.71,138.22,0,5.6,48.0,0.0,6.5,0,500.0
2017-01-01 05:15:00,24664.906476181044,396.71,79.34,178.52,138.85,0,5.6,48.0,0.0,6.5,0,500.0
2017-01-01 05:30:00,24739.344030391418,399.4,79.88,179.73,139.79,0,5.6,48.0,0.0,6.5,0,500.0
2017-01-01 05:45:00,24841.109569406082,403.09,80.62,181.39,141.08,0,5.6,48.0,0.0,6.5,0,500.0
2017-01-01 06:00:00,24973.0,407.85,81.57,183.53,142.75,0,5.6,48.0,0.0,8.0,0,500.0
2017-01-01 06:15:00,25134.972404359578,413.69,82.74,186.16,144.79,0,5.5,48.2,0.0,8.0,0,500.0
2017-01-01 06:30:00,25315.624566317005,420.22,84.04,189.1,147.08,0,5.4,48.5,0.0,8.0,0,500.0
2017-01-01 06:45:00,25500.71444511593,426.91,85.38,192.11,149.42,0,5.3,48.8,0.0,8.0,0,500.0
2017-01-01 07:00:00,25676.0,433.23,86.65,194.95,151.63,0,5.2,49.0,0.0,8.0,0,500.0
2017-01-01 07:15:00,25830.407031380666,438.8,87.76,197.46,153.58,0,5.2,49.2,0.0,8.0,0,500.0
2017-01-01 07:30:00,25965.53270434058,443.69,88.74,199.66,155.29,0,5.2,49.5,0.0,8.0,0,500.0
2017-01-01 07:45:00,26086.142025130204,448.04,89.61,201.62,156.81,0,5.3,49.8,0.0,8.0,0,500.0
2017-01-01 08:00:00,26197.0,452.05,90.41,203.42,158.22,0,5.3,50.0,0.0,8.0,0,500.0
2017-01-01 08:15:00,26301.649470117765,455.83,91.17,205.12,159.54,0,5.2,51.0,0.0,8.0,0,500.0
2017-01-01 08:30:00,26398.74461632068,459.34,91.87,206.7,160.77,0,5.0,52.0,0.0,8.0,0,500.0
2017-01-01 08:45:00,26485.717454363257,462.46,92.49,208.11,161.86,0,4.8,53.0,0.0,8.0,0,500.0
2017-01-01 09:00:00,26560.0,465.16,93.03,209.32,162.81,0,4.7,54.0,0.0,8.0,0,500.0
2017-01-01 09:15:00,26619.166963148255,467.29,93.46,210.28,163.55,0,4.4,55.8,0.0,8.0,0,500.0
2017-01-01 09:30:00,26661.36383037669,468.82,93.76,210.97,164.09,0,4.1,57.5,0.0,8.0,0,500.0
2017-01-01 09:45:00,26684.878782416774,469.66,93.93,211.35,164.38,0,3.8,59.2,0.0,8.0,0,500.0
2017-01-01 10:00:00,26688.0,469.78,93.96,211.4,164.42,0,3.5,61.0,0.0,8.0,0,500.0
2017-01-01 10:15:00,26670.65142728919,469.15,93.83,211.12,164.2,0,3.3,62.5,0.0,8.0,0,500.0
2017-01-01 10:30:00,26639.30006217256,468.02,93.6,210.61,163.81,0,3.1,64.0,0.0,8.0,0,500.0
2017-01-01 10:45:00,26602.048665969643,466.66,93.33,210.0,163.33,0,2.9,65.5,0.0,8.0,0,500.0
2017-01-01 11:00:00,26567.0,465.4,93.08,209.43,162.89,0,2.7,67.0,0.0,8.0,0,500.0
